"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat"
500.0,4000.0,850.0,5771.08,2278.82,800.00
600.0,4750.0,650.0,5947.37,,850.00
500.0,3500.0,700.0,5730.77,1750.00,700.00
500.0,3750.0,675.2,5441.18,,800.00
500.0,3000.0,702.9,5522.49,802.38,800.00
500.0,3000.0,700.0,6650.00,780.00,800.00
500.0,2500.0,500.0,5472.22,500.00,700.00
500.0,2500.0,600.0,6194.44,660.00,600.00
400.0,2750.0,850.0,7045.45,,800.00
400.0,3000.0,650.0,7509.36,766.67,500.00
350.0,2500.0,600.0,,,
341.76,2297.68,494.8,6835.20,915.00,500.00
