"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat)
117.76,69.58,224.47,80.95,241.91,342.41,303.47,213.31,119.71,72.00,221.04,103.44,128.00,117.63,1578.00,1500.0,350.00,755.36,606.67
117.21,64.08,171.16,94.09,245.67,300.00,291.83,229.00,112.25,80.22,188.68,114.58,98.67,126.08,1471.67,1650.0,350.00,785.88,577.39
98.89,53.45,171.43,81.82,216.47,281.67,246.14,195.11,91.54,71.02,169.6,110.27,108.48,101.88,1028.70,1000.0,300.00,619.44,492.38
101.17,51.64,151.04,86.69,192.98,245.00,266.50,175.00,102.00,65.00,155.23,101.46,93.22,97.62,1222.22,1000.0,300.00,653.85,483.53
117.5,65.5,188.59,134.58,239.79,336.67,261.55,200.00,162.86,93.17,190.13,146.67,131.43,107.50,1140.45,1000.0,300.00,666.62,498.89
102.92,57.27,166.56,127.8,181.67,,293.00,,,,208.57,136.67,119.00,132.00,,1000.0,,715.56,548.75
103.93,54.76,149.27,72.5,190.0,241.67,274.83,190.00,87.50,,159.0,91.67,122.00,94.00,1216.37,1050.0,250.00,730.00,482.86
98.58,52.53,164.63,77.91,166.67,227.78,281.75,227.86,103.92,62.00,123.85,92.67,158.79,106.89,985.59,800.0,200.00,601.05,530.91
86.5,61.44,149.4,88.57,194.29,211.67,308.33,206.67,100.00,80.83,163.11,118.33,188.00,86.00,,950.0,175.00,648.12,496.00
99.11,67.42,169.75,104.0,134.0,202.50,233.33,250.00,98.57,60.00,167.14,131.43,,,910.00,825.0,180.00,701.67,
86.05,46.2,156.41,103.75,166.67,206.67,,,,51.67,148.0,135.0,,,1033.33,700.0,250.00,,
85.26,49.83,167.68,88.42,119.19,181.37,284.48,211.95,87.00,64.75,159.2,125.0,,,1210.60,1000.0,170.00,480.28,
